title,arist,lyrics
King Of Kings,Hillsong Worship,"In the darkness
We were waiting
Without hope
Without light
Till from heaven
You came running
There was mercy in Your eyes
To fulfil the law and prophets
To a virgin came the word
From a throne of endless glory
To a cradle in the dirt

Praise the Father
Praise the Son
Praise the Spirit
Three in one
God of glory
Majesty
Praise forever to the King of Kings

To reveal the kingdom coming
And to reconcile the lost
To redeem the whole creation
You did not despise the cross
For even in your suffering
You saw to the other side
Knowing this was our salvation
Jesus for our sake you died

Praise the Father
Praise the Son
Praise the Spirit
Three in one
God of glory
Majesty
Praise forever to the King of Kings

And the morning that You rose
All of heaven held its breath
Till that stone was moved for good
For the Lamb had conquered death
And the dead rose from their tombs
And the angels stood in awe
For the souls of all who'd come
To the Father are restored
And the church of Christ was born
Then the Spirit lit the flame
Now this gospel truth of old
Shall not kneel
Shall not faint
By His blood and in His name
In His freedom I am free
For the love of Jesus Christ
Who has resurrected me

Praise the Father
Praise the Son
Praise the Spirit
Three in one
God of glory
Majesty
Praise forever to the King of Kings

Praise the Father
Praise the Son
Praise the Spirit
Three in one
God of glory
Majesty
Praise forever to the King of Kings"
Tell The World,Hillsong United,"Don't want to stand here and shout Your praise
And walk away and forget Your Name
I'll stand for you if it's all I do
Cause there is none that compare to You

Cause all I want in this lifetime is You
And all i want in this whole world is you

Tell the world that Jesus lives
Tell the world that, tell the world that
Tell the world that he died for them
Tell the world that he lives again

No longer I but Christ in me
Cause it's the truth that set me free
How could this world be a better place?
But by thy mercy and by thy grace

C'mon, c'mon we'll tell the world about You
C'mon, c'mon we'll tell the world about You

Tell the world that Jesus lives
Tell the world that, tell the world that
Tell the world that he died for them
Tell the world that he lives again

C'mon, c'mon we'll tell the world about You
Tell the world that
Tell the world that
C'mon, c'mon we'll tell the world about You
Tell the world that
Tell the world that
About You"
Yahweh,Elevation Worship,"Spirit of Jesus
Living within us
Never to fail or forsake
Unending promise
Heaven inside us
Whispers the sound of Your name

Holy
Holy is the Lord
Worthy to be praised
YAHWEH

Filled with Your wonder
Here I surrender
Held in Your mystery of grace
Calling me closer
Waking desire
Coming alive in Your name

Holy
Holy is the Lord
Worthy to be praised
YAHWEH
Fire rising in my soul
All consuming flame
YAHWEH

He who was and is to come
Is the One who lives in us
The great I am
YAHWEH
[x5]

Holy
Holy is the Lord
Worthy to be praised
YAHWEH
Fire rising in my soul
All consuming flame
YAHWEH
[x2]"
Reckless Love,Cory Asbury,"Before I spoke a word, You were singing over me
You have been so, so good to me
Before I took a breath, You breathed Your life in me
You have been so, so kind to me

Oh, the overwhelming, never-ending, reckless love of God
Oh, it chases me down, fights 'til I'm found, leaves the ninety-nine
I couldn't earn it, and I don't deserve it, still, You give Yourself away
Oh, the overwhelming, never-ending, reckless love of God

When I was Your foe, still Your love fought for me
You have been so, so good to me
When I felt no worth, You paid it all for me
You have been so, so kind to me

Oh, the overwhelming, never-ending, reckless love of God
Oh, it chases me down, fights 'til I'm found, leaves the ninety-nine
I couldn't earn it, and I don't deserve it, still, You give Yourself away
Oh, the overwhelming, never-ending, reckless love of God, yeah

There's no shadow You won't light up
Mountain You won't climb up
Coming after me
There's no wall You won't kick down
Lie You won't tear down
Coming after me

There's no shadow You won't light up
Mountain You won't climb up
Coming after me
There's no wall You won't kick down
Lie You won't tear down
Coming after me

Oh, the overwhelming, never-ending, reckless love of God
Oh, it chases me down, fights 'til I'm found, leaves the ninety-nine
And I couldn't earn it, I don't deserve it, still, You give Yourself away
Oh, the overwhelming, never-ending, reckless love of God"
What A Beautiful Name,Hillsong Worship,"You were the Word at the beginning
One with God the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ

What a beautiful Name it is
What a beautiful Name it is
The Name of Jesus Christ my King

What a beautiful Name it is
Nothing compares to this
What a beautiful Name it is
The Name of Jesus

You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great, Your love was greater
What could separate us now

What a wonderful Name it is
What a wonderful Name it is
The Name of Jesus Christ my King

What a wonderful Name it is
Nothing compares to this
What a wonderful Name it is
The Name of Jesus
What a wonderful Name it is
The Name of Jesus

Death could not hold You, the veil tore before You
You silenced the boast of sin and grave
The heavens are roaring the praise of Your glory
For You are raised to life again

You have no rival, You have no equal
Now and forever, God, You reign
Yours is the Kingdom, Yours is the glory
Yours is the Name above all names

What a powerful Name it is
What a powerful Name it is
The Name of Jesus Christ my King

What a powerful Name it is
Nothing can stand against
What a powerful Name it is
The Name of Jesus

You have no rival, You have no equal
Now and forever, God, You reign
Yours is the Kingdom, Yours is the glory
Yours is the Name above all names

What a powerful Name it is
What a powerful Name it is
The Name of Jesus Christ my King

What a powerful Name it is
Nothing can stand against
What a powerful Name it is
The Name of Jesus

What a powerful Name it is
The Name of Jesus
What a powerful Name it is
The Name of Jesus"
hot girl bummer,Our Last Night,"Fuck you and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer anthem
Turn it up and throw a tantrum
This that throw up in your Birkin bag
Hook up with someone random
This that social awkward suicide
That buy your lips and buy your likes
I swear she had a man, but shit
Hit different when it's Thursday night

That college dropout music every day
Leg day she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more time, I'm superhuman

Fuck you and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

Fuck you and you, and you
I hate your friends and they hate me too
Fuck you and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer 2-step
They can't box me in, I'm too left
This that drip that's more like oceans
They can't fit me in a Trojan
Out of pocket, but I'm always in my bag
Yeah, that's the slogan
This that, ""Who's all there? I'm pullin' up
With a emo chick that's broken""

This that college dropout music every day
Leg day she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

Fuck you and you, and you
I hate your friends and they hate me too
Fuck you and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that college dropout music every day
Leg day she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that college dropout music every day
Leg day she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
We go stupid, we go stupid
We go (And you want me to change? Fuck you!)

Fuck you and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

Fuck you
(I hate your friends and they hate me too)
This that hot girl bummer anthem
Turn it up and throw a tantrum"
A Great Big World (Say Something),Futuristic,"[Hook - Jerrin Jaramillo:]
Say something, I'm giving up on you
I'll be the one if you want me to
And anywhere I would've followed you
And say something, I'm giving up on you

[Verse - Futuristic:]
A lot of stress, she was a mess and I cleaned it up
You needed stuff and I needed something a little different
Say something, say anything, make a face, hold my hand
Kiss my lips to show that you really is committed
Four years is a lot of time, should we dismiss it?
Forget it and live as if it never existed
Emotions, I'm hopeless, it came to grow consistent
Turned a friendship into love, but now that love is sort of distant
I never thought I'd see the day I couldn't make you laugh
Couldn't make you smile, couldn't even make you mad
It's kind of like you're a cast or a mold
Or something from the past that I used to have
I'd do anything to get you back
And you would do anything just to get me back
I guess that's how it is
They say it's better to have loved and lost
But now I feel lost and I don't wanna live
Say something, say that you forgive me
Tell me that you believe me
Have faith that we can make it, I know that it won't be easy
But we could find a way back into that passion
Feel the word love and get lost in the meaning
Put you before me, your wants and your needs
My dreams include every bit of you
I wouldn't say it if it wasn't true
All you gotta do is tell me that you love me too
Say something

[Hook - Jerrin Jaramillo:]
Say something, I'm giving up on you
And I will swallow my pride
You're the one that I love
And I'm saying goodbye
And say something, I'm giving up on you
I'm sorry that I couldn't get to you
And anywhere I would've followed you
And say something, I'm giving up on you
Say something, I'm giving up on you
Say something"
2nd Guess,Emily King,"I'll be the one to love you when there's no one else around
Be the one to hold you when the others let you down
I know it sounds crazy, I know we just met
Life is always sweeter when there's no regrets

We can plan a holiday somewhere nice and warm
I can be your everything, shelter from the storm
Yeah, there's something 'bout ya, it's hard to forget
Life is always sweeter when there's no regrets

Oh why, why not take chances?
Oh why can't we let these hearts go?
This could be a moment, something worth holding onto
Oh why miss a connection?
Oh why don't we listen when we both know
This is something special, and I don't wanna think it through
There's no second-guessing you

I can make you happy, never ever sad
Never ever treat you like you're not the best
Did somebody hurt you? Drag your heart around?
I can lift you up if you let your guard down

Tell me all your secrets, I'll tell you all my crimes
Start with the confession, then toss it all aside
Oh, there's something 'bout you that's hard to forget
Life is always sweeter when there's no regrets

Oh why, why not take chances?
Oh why can't we let these hearts go?
This could be a moment, something worth holding onto
Oh why miss a connection?
Oh why don't we listen when we both know
This is something special, and I don't wanna think it through
No second-guessing you

I take my chances when they find me
(No thinking twice, thinking twice, got to roll the dice now)
I've seen too many fall behind me
I don't wanna lose you right now, oh-ooh

Oh why, why not take chances?
Oh why don't we listen when we both know
This is something special, and I don't wanna think it through"
Good Good Father,Passion,"Oh I've heard a thousand stories of what they think you're like
But I've heard the tender whisper of love in the dead of night
And You tell me that You're pleased
And that I'm never alone

You're a Good, Good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

Oh I've seen many searching for answers far and wide
But I know we're all searching
For answers only you can provide
Cause you know just what we need
Before we, we say a word

You're a Good, Good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am
You're a Good, Good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways to us
You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways to us

Oh, it's love so undeniable
I, I can hardly speak
Peace so unexplainable
I, I can hardly think
As You call me deeper still
As You call me deeper still
You call me deeper still
Into love, love, love

You're a Good, Good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am
You're a Good, Good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways to us
Yes I know, yes I know
You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways to us

You're a Good, Good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am"
none,none,none
