title,arist,lyrics
Do It Again (Acoustic),Elevation Worship,"Walking around these walls
I thought by now they'd fall
But You have never failed me yet

Waiting for change to come
Knowing the battle's won
For You have never failed me yet

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence, You've never failed me yet

I know the night won't last
Your Word will come to pass
My heart will sing Your praise again

Jesus You're still enough
Keep me within Your love
My heart will sing Your praise again

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence, You never failed

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence, You never failed me yet

I've seen You move... come move the mountains
And I believe... I'll see You do it again
You made a way... where there was no way
And I believe... I'll see You do it again

I've seen You move... come move the mountains
And I believe... I'll see You do it again
You made a way... where there was no way
And I believe... I'll see You do it again

I've seen You move... come move the mountains
And I believe... I'll see You do it again
You made a way... where there was no way
And I believe... I'll see You do it again
I'll see You do it again...

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence, You never failed

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence, You never failed me yet

Oh You never failed me yet
I never will forget
'Cause You never failed me yet
I never will forget..."
New Balance (Rough),Jhene Aiko,"Most of us are angry
Most of us are strangely
More alike than we'd like to believe
Most of us are empty
Most of us are simply
More alive in the scenes of our dreams

Then there's you
You've got something I've been wanting, oooh
You're so new
Oooh
You're my salvage, you're my balance, oooh
You're so new

Most of us are hurting
Most of us are searching
Someone to love
Someone to understand
Most the time I'm fighting
Multiple voices residing
In my head

Then there's you
You bring silence to my violent truth
Yes you do
Oooh
You're my salvage, you're my balance, oooh
You're so new

It hit me like a tidal wave
Knew that I was in love with you right away, yeah
Turned all my days into brighter days
Even when people say what we do is not okay
According to what the people say, yeah
Who cares what other people say?
Man fuck what other people say
I'ma ride for you
Baby, if you gon' ride for me
Cause I know, yes I know
That what we have is oh so real
And oh I feel so confident in
All you say
When you say
You'll never leave
You'll never leave
Please never leave
Yeah, I believe you
Yeah I do

Most of all I am thankful
You are just what I prayed for
You are what I was made for
Yes, I'm for sure
Most of all
I just want to mean the most to you
Most of all, baby, I'm just tryna grow with you
I just wanna go with you
Cause you bring so much hope to the picture
Some of us do find the one
To fall in love
And off of the
Fucking face of the Earth with
Some of us do deserve it
A love that's true and perfect
Some of us been through it all before
Some of us do still come back for more"
No Me Deja Ir (Love Won't Give Up),Elevation Worship,"Nada fuera de tu amor satisface
Ningún error que de ti me separe
No se acaba mi esperanza
Eres fiel Tú, eres fiel Dios

La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir

Me llamas de nuevo a donde me encontraste
Aunque me perdí nunca me abandonaste
No se acaba mi esperanza
Eres fiel Tú, eres fiel Dios

La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir
Tu amor no me deja ir

No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás

La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir
La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir
Tu amor no me deja ir"
Say The Word,Hillsong United,"Say the word and there is light
Say the word and dead bones rise
Every start and end hangs on Your voice
For Your word never returns void

Written in a billion skies
Speaking to this heart of mine
All that I am with all creation
Hanging on every word that You've spoken
And it will not be shaken
Clinging for life to all Your promise
Hanging on every word that You say

It will remain
And my soul will hang on every word You say

Word made flesh You wrote in grace
Promise kept through cross and grave
Over words of stone You spelled out love
And when You say it is done
It is done

[2x]
Written in a billion skies
Speaking to this heart of mine
All that I am with all creation
Hanging on every word that You've spoken
And it will not be shaken
Clinging for life to all Your promise
Hanging on every word that You say

It will remain
And my soul will hang on every word You say
Cause I know Your word will never ever fail
And my soul will hang on every word You say"
You Say,Anthem Lights,"I keep fighting voices in my mind that say I'm not enough
Every single lie that tells me I will never measure up
Am I more than just the sum of every high and every low?
Remind me once again just who I am because I need to know

You say I am loved when I can't feel a thing
You say I am strong when I think I am weak
And You say I am held when I am falling short
And when I don't belong, oh You say I am Yours
And I believe, oh I believe
What You say of me
I believe

The only thing that matters now is everything You think of me
In You I find my worth, in You I find my identity, o-ooh

You say I am loved when I can't feel a thing
You say I am strong when I think I am weak
And You say I am held when I am falling short
And when I don't belong, oh You say I am Yours
And I believe, oh I believe
What You say of me
Oh, I believe

Taking all I have and now I'm laying it at Your feet
You have every failure God, and You'll have every victory, o-ooh

You say I am loved when I can't feel a thing
You say I am strong when I think I am weak
You say I am held when I am falling short
When I don't belong, oh You say I am Yours
And I believe, oh I believe
What You say of me
I believe"
Mortal Man,Kendrick Lamar,"The ghost of Mandela, hope my flows they propel it
Let these words be your earth and moon
You consume every message
As I lead this army make room for mistakes and depression
And with that being said my nigga, let me ask this question:

When shit hit the fan, is you still a fan?
When shit hit the fan (one two, one two)
When shit hit the fan, is you still a fan?
When shit hit the fan, is you still a fan?

The ghost of Mandela, hope my flows they propel it
Let these words be your earth and moon
You consume every message
As I lead this army make room for mistakes and depression
And with that being said my nigga, let me ask this question:

When shit hit the fan, is you still a fan?
When shit hit the fan, is you still a fan?
Want you look to your left and right, make sure you ask your friends
When shit hit the fan, is you still a fan?

Do you believe in me? Are you deceiving me?
Could I let you down easily, is your heart where it need to be?
Is your smile on permanent? Is your vow on lifetime?
Would you know where the sermon is if I died in this next line?
If I'm tried in a court of law, if the industry cut me off
If the government want me dead, plant cocaine in my car
Would you judge me a drug-head or see me as K. Lamar
Or question my character and degrade me on every blog
Want you to love me like Nelson, want you to hug me like Nelson
I freed you from being a slave in your mind, you're very welcome
You tell me my song is more than a song, it's surely a blessing
But a prophet ain't a prophet til they ask you this question:

When shit hit the fan, is you still a fan?
When shit hit the fan, is you still a fan?
Want you look to your left and right, make sure you ask your friends
When shit hit the fan, is you still a fan?

The ghost of Mandela, hope my flows they propel it
Let my words be your earth and moon you consume every message
As I lead this army make room for mistakes and depression
And with that

Do you believe in me? How much you believe in her?
You think she gon' stick around if them 25 years occur?
You think he can hold you down when you down behind bars hurt?
You think y'all on common ground if you promise to be the first? Can you be immortalised without your life being expired?
Even though you share the same blood is it worth the time?
Like who got your best interest?
Like how much are you dependent?
How clutch are the people that say they love you?
And who pretending?
How tough is your skin when they turn you in?
Do you show forgiveness?
What brush do you bend when dusting your shoulders from being offended?
What kind of den did they put you in when the lions start hissing?
What kind of bridge did they burn?
Revenge or your mind when it's mentioned?
You wanna love like Nelson, you wanna be like Nelson
You wanna walk in his shoes but you peacemaking seldom
You wanna be remembered that delivered the message
That considered the blessing of everyone
This your lesson for everyone, say

When shit hit the fan, is you still a fan?
When shit hit the fan, is you still a fan?
Want you look to your left and right, make sure you ask your friends
When shit hit the fan, is you still a fan?

The voice of Mandela, hope this flow stay propellin'
Let my word be your Earth and moon
You consume every message
As I lead this army make room for mistakes and depression
And if you riding with me, nigga

I been wrote off before, I got abandonment issues
I hold grudges like bad judges, don't let me resent you
That's not Nelson-like, want you to love me like Nelson
I went to Robben's Island analysing, that's where his cell is
So I could find clarity, like how much you cherish me
Is this relationship a fake or real as the heavens be?
See I got to question it all, family, friends, fans, cats, dogs
Trees, plants, grass, how the wind blow
Murphy's Law, generation X, will I ever be your X?
Floss off a baby step, mauled by the mouth of
Pit bulls, put me under stress
Crawled under rocks, ducking y'all, it's respect
But then tomorrow, put my back against the wall
How many leaders you said you needed then left 'em for dead?
Is it Moses, is it Huey Newton or Detroit Red?
Is it Martin Luther, JFK, shoot or you assassin
Is it Jackie, is it Jesse, oh I know, it's Michael Jackson, oh

When shit hit the fan, is you still a fan?
When shit hit the fan, is you still a fan?
That nigga gave us ""Billie Jean"", you say he touched those kids?
When shit hit the fan, is you still a fan?

The ghost of Mandela, hope my flows they propel it
Let my word be your earth and moon you consume every message
As I lead this army make room for mistakes and depression
And if you riding with me nigga, let me ask this question nigga

[Kendrick Lamar:]
""I remember you was conflicted
Misusing your influence
Sometimes I did the same
Abusing my power, full of resentment
Resentment that turned into a deep depression
Found myself screaming in the hotel room
I didn't wanna self destruct
The evils of Lucy was all around me
So I went running for answers
Until I came home
But that didn't stop survivor's guilt
Going back and forth trying to convince myself the stripes I earned
Or maybe how A-1 my foundation was
But while my loved ones was fighting the continuous war back in the city, I was entering a new one
A war that was based on apartheid and discrimination
Made me wanna go back to the city and tell the homies what I learned
The word was respect
Just because you wore a different gang color than mine's
Doesn't mean I can't respect you as a black man
Forgetting all the pain and hurt we caused each other in these streets
If I respect you, we unify and stop the enemy from killing us
But I don't know, I'm no mortal man, maybe I'm just another nigga""

Shit and that's all I wrote
I was gonna call it
Another Nigga but, it ain't really a poem, I just felt like it's
something you probably could relate to. Other than that, now that I
finally got a chance to holla at you, I always wanted to ask you about a
certain situa--, about a metaphor actually, you spoke on the ground.
What you mean 'bout that, what the ground represent?

[2Pac:]
The ground is gonna open up and swallow the evil

[Kendrick Lamar:]
Right

[2Pac:]
That's how I see it, my word is bond. I see - and
the ground is the symbol for the poor people, the poor people is gonna
open up this whole world and swallow up the rich people. Cause the rich
people gonna be so fat, they gonna be so appetising, you know what I'm
saying, wealthy, appetising. The poor gonna be so poor and hungry, you
know what I'm saying it's gonna be like… there might be some cannibalism
out this mutha, they might eat the rich

[Kendrick Lamar:]
Aight
so let me ask you this then, do you see yourself as somebody that's
rich or somebody that made the best of their own opportunities?

[2Pac:]
I
see myself as a natural born hustler, a true hustler in every sense of
the word. I took nothin', I took the opportunities, I worked at the most
menial and degrading job and built myself up so I could get it to where
I owned it. I went from having somebody manage me to me hiring the
person that works my management company. I changed everything I realized
my destiny in a matter of five years you know what I'm saying I made
myself a millionaire. I made millions for a lot of people now it's time
to make millions for myself, you know what I'm saying. I made millions
for the record companies, I made millions for these movie companies, now
I make millions for us

[Kendrick Lamar:]
And through your different avenues of success, how would you say you managed to keep a level of sanity?

[2Pac:]
By
my faith in God, by my faith in the game, and by my faith in ""all good
things come to those that stay true."" You know what I'm saying, and it
was happening to me for a reason, you know what I'm saying, I was
noticing, shit, I was
punching the right buttons and it was happening. So it's no problem, you
know I mean it's a problem but I'm not finna let them know. I'm finna
go straight through

[Kendrick Lamar:]
Would you consider yourself a fighter at heart or somebody that only reacts when they back is against the wall?

[2Pac:]
Shit,
I like to think that at every opportunity I've ever been threatened
with resistance, it's been met with resistance. And not only me but it
goes down my family tree. You know what I'm saying, it's in my veins to
fight back

[Kendrick Lamar:]
Aight well, how long you think it
take before niggas be like, we fighting a war, I'm fighting a war I
can't win and I wanna lay it all down

[2Pac:]
In this country a
black man only have like 5 years we can exhibit maximum strength, and
that's right now while you a teenager, while you still strong or while
you still wanna lift weights, while you still wanna shoot back. Cause
once you turn 30 it's like they take the heart and soul out of a man,
out of a black man in this country. And you don't wanna fight no more.
And if you don't believe me you can look around, you don't see no loud
mouth 30-year old muthafuckas

[Kendrick Lamar:]
That's crazy,
because me being one of your offspring of the legacy you left behind I
can truly tell you that there's nothing but turmoil goin' on so I wanted
to ask you what you think is the future for me and my generation today?

[2Pac:]
I think that niggas is tired of grabbin' shit out the stores and next time it's a riot there's gonna be, like, uh, bloodshed for real. I don't think America
know that. I think American think we was just playing and it's gonna be
some more playing but it ain't gonna be no playing. It's gonna be
murder, you know what I'm saying, it's gonna be like Nat Turner, 1831,
up in this muthafucka. You know what I'm saying, it's gonna happen

[Kendrick Lamar:]
That's
crazy man. In my opinion, only hope that we kinda have left is music
and vibrations, lotta people don't understand how important it is.
Sometimes I be like, get behind a mic and I don't know what type of
energy I'mma push out, or where it comes from. Trip me out sometimes

[2Pac:]
Because the spirits, we ain't even really rappin', we just letting our dead homies tell stories for us

[Kendrick Lamar:]
Damn

I wanted to read one last thing to you. It's actually something a good friend had wrote describing my world. It says:

""The caterpillar is a prisoner to the streets that conceived it
Its only job is to eat or consume everything around it, in order to protect itself from this mad city
While consuming its environment the caterpillar begins to notice ways to survive
One thing it noticed is how much the world shuns him, but praises the butterfly
The butterfly represents the talent, the thoughtfulness, and the beauty within the caterpillar
But
having a harsh outlook on life the caterpillar sees the butterfly as
weak and figures out a way to pimp it to his own benefits
Already surrounded by this mad city the caterpillar goes to work on the cocoon which institutionalizes him
He can no longer see past his own thoughts
He's trapped
When trapped inside these walls certain ideas take roots, such as going home, and bringing back new concepts to this mad city
The result?
Wings begin to emerge, breaking the cycle of feeling stagnant
Finally free, the butterfly sheds light on situations that the caterpillar never considered, ending the internal struggle
Although the butterfly and caterpillar are completely different, they are one and the same.""

What's your perspective on that?
Pac? Pac?
Pac?!"
Nonchalant,6LACK,"Watch your mouth when you lettin' shit slide
Don't you know I got way too much pride?
Sneak dissin' way on the other side
I turn your fucking wave to a tide
I'm so fucking tired, somehow I still find the time
To care a little more about my rhymes
To care a little more about my peers
To think a little less about my fears
To care a little more about your ears
I give a piece of me to everybody I meet
Not because they want it, it's because it's prolly in need
Claim they woke but they prolly asleep
In a cage, thinking if they'd make a mil' they'll be free like Meek, nah
I turned a nightmare right into a dream, yeah
I keep my sanity, 'cause I ain't on the scene, yeah
I know I gotta be a rock like Dwayne
So, I'm tryna be a rock like Da Wayne, Carter Rebirth
Put that line in reverse, add a little reverb, yeah
We work, so my niggas ain't gotta be on T-Shirts
Watch me get my hands dirty with the rework
Damn, do I even have the fans for this shit?
To be rapping like these people understanding this shit
It's demanding and shit, but I stand for these kids
Like they stand for the kid, understand now we clear
Crack a beer when I'm feelin' piss, hmm, yeah
But I ain't got nobody hand on my back, you ventriloquist
Ever since my songs went platinum like Sisqó
Life done found a filter like VSCO, ay
But it's okay, 'cause
If you down and you need a lil' help, it's a way
If you hatin' and you feelin' insecure, Issa Rae
I'm somewhere between humble and hell nah
These niggas drop their second album then fell off
My nonchalant flow will never end right
It be at they necks if it's in sight
Squeezing until they crack a windpipe
Loosen the grip, have a lil' remorse
You dial 911 I pull up in a Porsche
Word is I'm carrying the torch and I ain't wanna share
So beware if you reach you get scorched

Ever since I jumped off the porch
I knew that I would grow to be the boy
The boy then grew to be the man
Learned how to kill a hook, Peter Pan
I'm tryna make the end stand out
But I'm so fucking outstanding
I'm so fucking outlanding and the opp can't win
Man's not hot
I been on ten landslide wins, yeah"
a lot,21 Savage,"[21 Savage:]
I love you
Turn my headphone down a little bit, yeah
For so many reasons
Yeah, yeah, yeah, yeah, yeah, yeah (I do), yeah, yeah yeah yeah
Yeah, yeah, ah, ah, whoa, whoa, whoa, yeah

How much money you got? (Straight up)
How much money you got? (Straight up)
How much money you got? (Straight up)
How much money you got? (A lot)

How much money you got? (A lot)
How many problems you got? (A lot)
How many people done doubted you? (A lot)
Left you out to rot? (A lot)
How many pray that you flop? (A lot)
How many lawyers you got? (A lot)
How many times you got shot? (A lot)
How many niggas you shot? (A lot)
How many times did you ride? (A lot)
How many niggas done died? (A lot)
How many times did you cheat? (A lot)
How many times did you lie? (A lot)
How many times did she leave? (A lot)
How many times did she cry? (A lot)
How many chances she done gave you
Fucking around with these thots? (A lot)

Every day that I'm alive, I’ma ride with the stick
I'd rather be broke in jail than be dead and rich
Told my brothers take my breath if I turn to a snitch
But I'm 21 4L, ain’t no way I'ma switch

Break it down, I break it down
I break it down, I break it down
I break it down, I break it down
I break it down, I break it down

Penitentiary chances just to make a couple bucks
My heart so cold I could put it in my cup
Gang vs. the world, me and my dawg, it was us
Then you went and wrote a statement, and that really fucked me up
My brother lost his life and it turned me to a beast
My brother got life and it turned me to the streets
I been through the storm and it turned me to a G
But the other side was sunny, I get paid to rap on beats

How much money you got? (A lot)
How many problems you got? (A lot)
How many people done doubted you? (A lot)
Left you out to rot? (A lot)
How many pray that you flop? (A lot)
How many lawyers you got? (A lot)
How many times you got shot? (A lot)
How many niggas you shot? (A lot)
How many times did you ride? (A lot)
How many niggas done died? (A lot)
How many times did you cheat? (A lot)
How many times did you lie? (A lot)
How many times did she leave? (A lot)
How many times did she cry? (A lot)
How many chances she done gave you?
Fuck around with these thots (A lot)

[J. Cole:]
Break it on down, I break it on down
I break it on down, I break it on down
Yeah, I just came from the A
I drove back home, six hour drive, six and a half
Before I left I stopped by to see my nigga 21 in the studio
He had two of his kids with him right in the studio, that's when I knew
You a stand up nigga, I love seein' shit like that

Question
How many faking they streams? (A lot)
Getting they plays from machines? (A lot)
I can see behind the smoke and mirrors
Niggas ain't really big as they seem (Hmm)
I never say anything (Nah), everybody got they thing (True)
Some niggas make millions, other niggas make memes (Hmm)
I'm on a money routine
I don't want smoke, I want cream
I don't want no more comparisons
This is a marathon and I’m aware
I been playing it back from a lack of promotions
I was never one for the bragging and boasting
I guess I was hoping the music would speak for itself, but the people want everything else
Ok, no problem, I’ll show up on everyone album
You know what the outcome will be
I'm batting a thousand
It’s got to the point that these rappers don't even like rappin' with me
Fuck it 'cause my nigga 21 Savage just hit me
And told me he saved me a spot on a new record he got
He call it ""a lot,"" I open my book and I jot
Pray for Tekashi, they want him to rot
I picture him inside a cell on a cot
’Flectin' on how he made it to the top
Wondering if it was worth it or not
I pray for Markelle 'cause they fucked up his shot
Just want you to know that you got it, my nigga
Though I never met you, I know that you special
And that the Lord blessed you, don't doubt it, my nigga
Dennis Smith, Jr. stay solid, my nigga
I'm on a tangent, not how I planned it
I had some fans that hopped and abandoned ship
When they thought that I wasn't gone pan out, I got a plan
They say that success is the greatest revenge, tell all your friends
Cole on a mission, cementin' the spot as the greatest that did it
Before it all ends, nigga

[21 Savage:]
How much money you got? (A lot)
How many problems you got? (A lot)
How many people done doubted you? (A lot)
Left you out to rot? (A lot)
How many pray that you flop? (A lot)
How many lawyers you got? (A lot)
How many times you got shot? (A lot)
How many niggas you shot? (A lot)
How many times did you ride? (A lot)
How many niggas done died? (A lot)
How many times did you cheat? (A lot)
How many times did you lie? (A lot)
How many times did she leave? (A lot)
How many times did she cry? (A lot)
How many chances she done gave you?
Fuck around with these thots (A lot)

Break it on down, I break it on down
I break it on down, I break it on down
I break it down, I break it down
I break it down, I break it down
I break it on down, I break it down
I break it down, I break it down
I break it down, I break it down
I break it down, I break it down, I br-"
Never Be Like You,Crywolf,"What I would do to take away
This fear of being loved
Allegiance to the pain
Now I'm fucked up and I'm missin' you
I swear she'll never be like you
I swear she'll never be like you

I would give anything to change
This fickle-minded heart that loves fake shiny things
Now I'm fucked up and I'm missin' you
I swear she'll never be like you (like you...)

I'm only human can't you see
I made, I made a mistake
Please just slap me in my face
Tell me everything's okay
Only human can't you see
I made, I made a mistake
Please just slap me in my face
Tell me everything's okay

'Cause I got it, oh. She'll never be like you, oh...

Never be like you (never be like, never be like you)...

And I know she'll never be like you
She'll never be like you
She'll never be like you
She'll never be like...

How do I make you wanna stay?
Hate sleepin' on my own
Missin' the way you taste
Now I'm fucked up and I'm missin' you, oh
I swear she'll never be like you
I swear she'll never be like you

Stop looking at me with those eyes
Like I could disappear and you wouldn't care why
Now I'm fucked up and I'm missin' you, oh
I swear she'll never be like you

I'm only human can't you see
I made, I made a mistake
Please just slap me in my face
Tell me everything's okay
Only human can't you see
I made, I made a mistake
Please just slap me in my face
Tell me everything's okay

'Cause I got it, oh. She'll never be like you, oh...

Never be like you (never be like, never be like you)..."
Location Unknown ◐,HONNE,"Travelling places I ain't seen you in ages
But I hope you come back to me
My mind's running wild with you faraway
I still think of you a hundred times a day

I still think of you too if only you knew
When I'm feeling a bit down and I wanna pull through
I look over your photograph
And I think how much I miss you, I miss you
I wish I knew where I was 'cause I don't have a clue
I just need to work out some way of getting me to you
'Cause I will never find a love like ours out here
In a million years, a million years

My location unknown tryna find a way back home to you again
Gotta get back to you gotta gotta get back to you
My location unknown tryna find a way back home to you again
Gotta get back to you gotta gotta get back to you

I just need to know that you're safe, given that I'm miles away
On the first flight back to your side
I don't care how long it takes, I know you'll be worth the wait
On the first flight back to your side

Travelling places I ain't seen you in ages
But I hope you come back to me
My mind's running wild with you faraway
I still think of you a hundred times a day

I still think of you too if only you knew
I just need to work out some way of getting me to you
'Cause I will never find a love like ours out here
In a million years, a million years

My location unknown tryna find a way back home to you again
Gotta get back to you gotta gotta get back to you
My location unknown tryna find a way back home to you again
Gotta get back to you gotta gotta get back to you

I just need to know that you're safe, given that I'm miles away
On the first flight back to your side
I don't care how long it takes, I know you'll be worth the wait
On the first flight back to your side

I don't want to be wasting time without you
Don't want to throw away my life I need you
Something tells me we'll be alright
Something tells me we'll be alright alright
I don't want to be wasting time without you
Don't want to throw away my life I need you
Something tells me we'll be alright
Something tells me we'll be alright alright

My location unknown tryna find a way back home to you again
Gotta get back to you gotta gotta get back to you
My location unknown tryna find a way back home to you again
Gotta get back to you gotta gotta get back to you

I just need to know that you're safe, given that I'm miles away
On the first flight back to your side
I don't care how long it takes, I know you'll be worth the wait
On the first flight back to your side

I wish I'd known, location unknown
My location unknown my location unknown, unknown"
Lost Stars,Maroon 5,"Please don't see
Just a boy caught up in dreams and fantasies
Please see me
Reaching out for someone I can't see

Take my hand, let's see where we wake up tomorrow
Best laid plans sometimes are just a one night stand
I'll be damned, Cupid's demanding back his arrow
So let's get drunk on our tears

And God, tell us the reason youth is wasted on the young
It's hunting season and the lambs are on the run
Searching for meaning
But are we all lost stars trying to light up the dark?

Who are we?
Just a speck of dust within the galaxy?
Woe is me
If we're not careful turns into reality

But don't you dare let our best memories bring you sorrow
Yesterday I saw a lion kiss a deer
Turn the page, maybe we'll find a brand new ending
Where we're dancing in our tears

And God, tell us the reason youth is wasted on the young
It's hunting season and the lambs are on the run
Searching for meaning
But are we all lost stars trying to light up the dark?

And I thought I saw you out there crying
And I thought I heard you call my name
And I thought I heard you out there crying
Just the same

And God, give us the reason youth is wasted on the young
It's hunting season and this lamb is on the run
Searching for meaning
But are we all lost stars trying to light ... light up the dark?

And I thought I saw you out there crying
And I thought I heard you call my name
And I thought I heard you out there crying
But are we all lost stars trying to light up the dark?
Are we all lost stars trying to light up the dark?"
Ver La Victoria (See A Victory),Elevation Worship,"No prosperará el arma forjada
La oscuridad no prevalecerá
Porque el Dios que sirvo siempre triunfará
Mi Dios no fallará
Mi Dios no fallará

Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor
Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor

Hay poder en el nombre de Cristo
Cada guerra que Él pelea ganará
Nunca huiré de los gigantes
Sé como terminará
Sé como terminará

Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor
Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor
Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor
Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor

Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien
Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien
Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien
Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien
Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien
Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien

Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor
Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor
Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor
Voy a ver la victoria
Voy a ver la victoria
La batalla es tuya Señor

Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien
Todo lo que viene del enemigo
Lo transformas para bien
Lo transformas para bien"
Psalm 103,JPCC Worship,"My whole heart
My whole life
Bow in wonder of Your love
How could I ever forget
Your grace is miracle to me

I boast nothing but my Christ
Not my power
Not my wisdom
I will trust You with my heart
I will wait here
In Your presence

Whom have I in heaven
I desire none but You
Though my flesh, they may fail
My portion You are all I need

I boast nothing but my Christ
Not my power
Not my wisdom
I will trust You with my heart
I will wait here
In Your presence

Your greatness, Your power
Your love is washing over me
Amazing Your grace is
Now I know that I am free

Your greatness, Your power
Your love is washing over me
Amazing Your grace is
Now I know that I am free

I've seen Your greatness, seen Your power, love
Your love's amazing, now that I am free

Your greatness, Your power
Your love is washing over me
Amazing Your grace is
Now I know that I am free

Your greatness, Your power
Your love is washing over me
Amazing Your grace is
Now I know that I am free

Your love's amazing, now that I am free"
none,none,none
I Like Me Better,Ysabelle Cuevas,"To be young and in love in New York City
To not know who I am but still know that I'm good long as you're here with me
To be drunk and in love in New York City
Midnight into morning coffee
Burning through the hours talking

I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time
'Cause I like me better when
I like me better when I'm with you

I don't know what it is but I got that feeling
Waking up in this bed next to you, swear the room yeah it got no ceiling
If we lay, let the day just pass us by
I might get to too much talking, I might have to tell you something

I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time
'Cause I like me better when
I like me better when I'm with you

Stay awhile stay awhile
Stay here with me
Stay awhile stay awhile, oh
Stay awhile stay awhile
Stay here with me
Lay here with me
Yeah, yeah

I like me better when I'm with you
(Yes, I do, yes, I do, baby)
I like me better when I'm with you
I knew from the first time
I'd stay for a long time
'Cause I like me better when
I like me better when I'm with you

I like me, I like me
Look who you made me, baby, oh no
I like me better when I'm with you"
Hottest In Tha City,Meek Mill,"[Hook: x2]
Hottest In The City [x4]
Ain't no body gonna top

[Verse:]
Meek Milly I'm flammin
Hotter den da whip I came in, harder den da pavement
Droppin on dese niggas back to back I'm rainmaker
'Cause you the top noodle like Raymond[save it]
Boss Ricky Ross, stand tall City Hall
I'm the hottest in the city got dem rida niggas with me
When they let me out the cell I was bobbin like I'm Diddy
Den Omelly came to scoop with da choppa in his fizzy {like}
Like what it is, what's really good
I be anywhere, any block, any hood
All my niggas ride hard like a inny should
I be beastin these rap niggas like a skinny should
In yo area puffy on scovo, I jus wanna make a little change OBAMA
Me and Osama co-45ers get the bustin I ain't talkin yo mama {Nigga m the}

[Hook]

It's Philly Mill, is he really real?
Hold up, let me tell dese niggas how I really feel
Bitch nigga come home for a stripe, start dissin niggas on a tape {fuck outta here}
Shout out to G-Raw, shout out to nigga Vok, shout out to black Neil real niggas on top
I'm on my different sht, can't stop won't stop
Send Omelly out with 30 and he ain't gon stop
He gonna do you niggas dirty like a floor mop
Hit you on the first row of bull shots, more shots
Heard about your little diss, you ain't drop
The mix tapes real niggas who ain't cop it
My bag oh ain't I, I'm in my bag oh ain't I
40 on my hip, one up in the chamber
30 in the clit, walk up like a stranger
You with all of dat, dey be like dats a flamer {'Cause I'm da}

[Hook]

I spit flame, Luke Kane yea I finished him
I give it to em niggas raw like Dominicans[yea]
Hater, I got plenty dem but like Arsenial, I semmie dem really tho
Will is blue, fuck a nigga ass like Omelio, Niggas say I'm sick but I'm illy tho
I be on some shit behind prints till something hit me with a pretty hoe
Be on the southside but in North Philly tho, really tho
Bird by the pound, but crack by the o-z, I'm so fly all your hoes know me
Me, Oski, Haddy dropped the matix tough, hittin bitches like the batter up, you mad at dem
We gettin paper, hater how you made it? forty-orty, jump all on it we gettin major
Young player, more like Kobe play for the Lakers, with cavali Pardas in multi-color flavors

[Hook: till end]"
