title,arist,lyrics
Lowkey,NIKI,"Wonder what I'll do
When the cops come through
And the whiskey's run out
'Cause I've been looking at you
Since half past two
Wanna take this downtown
This liquid courage
Got me way too honest
Put your phone on vibrate
Let's catch a vibe babe
While the sun's down

Hush now, I know
We're a little too fucked up to stay still love
Be as quiet as you can
'Cause if anyone sees they'll just blow shit up
I don't gotta know if you're taken
I'll just let you know, bedroom's vacant
No one's gotta know, just us and the moon
Till the sun starts waking

Up's the only direction I see
As long as we keep this

Low, low, low, low, low, low, low, lowkey
(Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah)
You ain't even gotta lo-, lo-, lo-, lo-, lo-, lo-, lo-, love me
(Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah)
Us on a king size, keep it a secret
Say I'm your queen, I don't wanna leave this
Low, low, low, low, low, low, low, lowkey

Wizard with words, tellin' me
My energy's so bewitching
So I'll go first
There's an open bar
Let's close this distance
Oh-oh-oh, my
Don't make me have to spell it all night

I don't really give a fuck
'Bout all the ""he said, she said"" bullshit
So pick your poison love
Let's go somewhere a little more exclusive
Take a shot, take a chance, take my hand boy
Tension so intense like an asteroid
Be discreet, gotta dodge all the tabloids

Let's not think too much, there ain't no problems
As long as we keep this

Low, low, low, low, low, low, low, lowkey
(Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah)
You ain't even gotta lo-, lo-, lo-, lo-, lo-, lo-, lo-, love me
(Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah)
Us on a king size, keep it a secret
Say I'm your queen, I don't wanna leave this
Low, low, low, low, low, low, low, lowkey"
Worthy (Paradoxology),Elevation Worship,"It was my cross You bore
So I could live in the freedom You died for
And now my life is Yours
And I will sing of Your goodness forevermore

Worthy is Your name, Jesus
You deserve the praise
Worthy is Your name
Worthy is Your name, Jesus
You deserve the praise
Worthy is Your name

And now my shame is gone
I stand amazed in Your love undeniable
Your grace goes on and on
And I will sing of Your goodness forevermore

Worthy is Your name, Jesus
You deserve the praise
Worthy is Your name
Worthy is Your name, Jesus
You deserve the praise
Worthy is Your name
And worthy is Your name, Jesus
You deserve the praise
Worthy is Your name
Worthy is Your name, Jesus
You deserve the praise
Worthy is Your name

Be exalted now in the heavens
As Your glory fills this place
You alone deserve our praise
You're the name above all names
Be exalted now in the heavens
As Your glory fills this place
You alone deserve our praise
You're the name above all names
Be exalted now in the heavens
As Your glory fills this place
You alone deserve our praise
You're the name above all names
Be exalted now in the heavens
As Your glory fills this place
You alone deserve our praise
You're the name above all names
Oh-ohh (Oh-ohh)
Name above all names, oh-ohh

Worthy is Your name, Jesus
You deserve the praise
Worthy is Your name
Worthy is Your name, Jesus
You deserve the praise
Worthy is Your name"
Whole Heart (Hold Me Now),Hillsong United,"Hold me now
In the hands that created the heavens
Find me now
Where the grace runs as deep as Your scars
You pulled me from the clay
You set me on a rock
Called me by Your Name
And made my heart whole again

Lifted up
And my knees know it's all for Your glory
I might stand
With more reasons to sing than to fear
You pulled me from the clay
Set me on a rock
Called me by Your Name
And made my heart whole again

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

And that grace
Owns the ground where the grave did
Where all my shame remains
Left for dead in Your wake
You crashed those age-old gates
You left no stone unturned
You stepped out of that grave
And shouldered me all the way

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now"
Go Somewhere,Sage The Gemini,"[Hook: Sage The Gemini]
Excuse me? I know you don't care
But I saw you from across the room
And I just wanna say I like your hair
Maybe some time we can
Go somewhere? Hey. [x8]

[Verse 1: iamSu!]
Yeah, excuse my manners
I just wanna, I just wanna do it on camera
Where you wanna go baby we could go anywhere?
And if I already landed then I'm gonna send you there
I got a pocket that has nothing but some Benjamins
You so sweet you should change your name to Cinnamon
I be making dividends in hella different states
These niggas out of line Imma put them in place
Real good organization
Heartbreak gang we are more than a nation
Aborting these babies, I ain't feeling these Niggas
Lick their bitch like a letter and them im sending these niggas fates

[Hook]

[Verse 2: Sage The Gemini]
Go go somewhere tear down the wall
Got the number for your drawers making bootycalls
Girl I'm just playing
Gotta get like Jeff and get married I'm just saying, yeah
Money to the max just went up the bank
Got me in the clouds just without the plane
Imagine us living life out in maine
HBK gang yeah we here to stay
A real one need a real one
Chasing you girl thats a real run
With me you gonna have some good times
So if you lose him no I ain't a re-run

[Hook]

[Hook]"
B-Boyz,Birdman,"[Verse 1: Kendrick Lamar]
Talk about it, make 'em talk about
Life to me is currency, prosperity, I got it
And your life to me is lifeless, like its livin' on life support
I license everything in my wallet, lightest boy with the biggest heart
Nigga play your part or parallel park your ego, next to me and violence
Next to me is definitely no one, I'm one of one
And I musta won that from anybody who had it, or better yet forgot it
Mack in the back of a 'Lac, with a mac in the back of the 'Lac
With a latch on the back of the trunk
Hit a punk in the back with a pump, in the back, 'till he's off balance
And I'm back in the front of the front of the future when you are mentioning talent
And I'm in the back in the back of the block with a cop, wanna cop anybody's allowance
Iraq on the block, he watch for the block or whatever
And cut, no cut, more guns, more guts, fuck boy, you fucked up twice, you fuck, consider you drownin'
Die in a lake with a date with a catfish, back flip head first smilin'
C-cry in the face of Jesus, we just pray we keep on stylin'
On you bitches, TDE, YMCMB business, bitch

[Verse 2: Ace Hood]
Okay nigga riding in a May-be, and I'm probably with baby
Dont talk nigga fuck you pay me, intercept your bitch like Bailey
Okay big money on this side, 100 grand for the whip my bitch drive
Need a new save money getting too high, dead presidents all in my Levis
Boy I swear this nigga be swagging, and I'm living lavish
Might cop me an Aston, Martin on 'em
Anything I drive I own 'em, bad bitch and that ass ain't normal
Gotta put that pound game on her, beat it up she deep in a coma
I'm super paid, 2 shows a day
My rollie gold, no time to waste
What it do Berg, my fuckin' brother
Keep that pistol by me like my lovely momma
Hot as the summer, cold as the winter
Stay on them charts, I heard that they plotting my timber
Young nigga, got a lot of flows
Any nigga don't believe me, I make it look easy easy out of control

[Verse 3: Birdman]
Box full of choppers, hand on the trigger
Uptown gangsta, get it how we get it
Third Ward soldier, suicide rider
Militant minded, hundred mill on the counter
Hand pearly rug nigga, flame on the Bugatti
Christian Louboutin, Chanel for my models
Higher than Bugatti nigga, fishing on the fish scales
Nose diving for them hundreds, strapped up making mail
Fr-fresher than I been before
Higher than we even been, shining on them 24's
Junior doing time ho
On the grind ho, while he doing time ho

[Interlude: Mack Maine]
Ya know!
The time is money and money still was made baby
Eight months ain't stop nothing nigga
It's like jail was third base and my lil' nigga still came home, ya understand

[Verse 4: Mack Maine]
I'm from the hood where bitches hold coke in they baby diapers
That's why when the babies grow up damn they be like us
I came a long ways from rhyming up in crazy cyphers
Man I'm so happy my lil' brother came home from Rikers
Shout out to BP, Thugga, Flow and Fail Boy
My flow Lucifer, I spit hell boy
My heart numb, ain't no pain I can't withstand
And I hold my niggas down boy like a kickstand
Get off my nuts, stop acting like a bitch fam
Lil' nigga finish puberty, grow ya own dick damn
I went from watching time fly on Earl and Red porch
To cruising through the streets of Miami in a red Porsche
Me and Stunna fly, we should join the Air Force
Stand up niggas, the fuck you brought them chairs for?
I went from making money from people with crack habits
To thanking God I'm in a whole 'nother tax bracket
Amen"
Slip The Noose,The Maine,"Breakdown hysteric and young
Uncomfortably numb
Then you sent my pain into oblivion
I was on the verge of breaking down
Then you came around
And not a second too late

Well give two fingers to the person that I used to be
You shook the noose, slipped my head loose and now that boy is history
And you see that I knew better, yeah I knew better
Than to refuse your hand you rescued me from myself

Oh, just slip the noose
Untie the rope from my wrists
I was about to let go
'Til I knew you existed

Breakdown hysteric and young
Uncomfortably numb
Then you sent my pain into oblivion
I was on the verge of breaking down
Then you came around
And not a second too late

Well loneliness is hell and you're alone but I can tell you
That it's everything you need because it brought you right to me
And now you see that I knew better, yeah I knew better
Than to refuse your hand you rescued me from myself

Oh, just slip the noose
Untie the rope from my wrists
I was about to let go
'Til I knew you existed

Breakdown hysteric and young
Uncomfortably numb
Then you sent my pain into oblivion
I was on the verge of breaking down
Then you came around
And not a second too late

Oh, just slip the noose
Untie the rope from my wrists

So breakdown hysteric and young
Uncomfortably numb
Then you sent my pain into oblivion
I was on the verge of breaking down
(Oh, just slip the noose, untie the rope from my wrists)
I was on the verge of breaking down
(I was about to let go 'til I knew you existed)

I was on the verge of breaking down
Then you came around
And not a second too late"
Every Little Thing (Remix),Hillsong Young & Free,"Every little thing-ing-ing

Your favour waits within the future
My dreams are small compared to Yours
Why should I worry 'bout tomorrow when I know
That all I gotta do is trust You, Lord

Every little thing is gonna be alright
Every little thing is gonna be just fine
Whether I can see it now
I know You will work it out for good
Every little thing, everything will be alright

Behind the scenes and in the details
You plan the perfect way for me
Why would I dwell upon the road's uncertainties
When all I gotta do is look to You
Yeah, all I gotta do is look to You

Every little thing is gonna be alright
Every little thing is gonna be just fine
Whether I can see it now
I know You will work it out for good
Every little thing, everything will be alright

Every little thing, every little thing
Every little thing, everything will be alright

[Andy Mineo:]
Hey God, I know You don't need no one to advise You
You probably do a better job running the world than I do
I just thought I'd remind You
I've been trying to find You
It felt like Satan working overtime, times two
They say if it doesn't kill ya that refines you
But I'm trying to live, and that's bigger than survival
It's been a long night
It's been a long fight
So just remind me now
Everything will be alright

Every little thing, every little thing
Every little thing
Every little thing
Every little thing, everything will be alright"
none,none,none
SELAH III (Fruits Of The Spirit),Hillsong Young & Free,"You give me
Love joy peace patience and faithfulness
Your goodness is here now
Self-control kindness and gentleness
Oh You give Your heart to me

Love joy peace patience and faithfulness
Your goodness is here now
Self-control kindness and gentleness
Oh You give Your heart to me"
Goodness Of God,One Sonic Society,"I love You, Lord, oh, Your mercy never fails me
All my days I've been held in Your hands
From the moment that I wake up until I lay my head
I will sing of the goodness of God

All my life You have been faithful
And all my life You have been so, so good
With every breath that I am able
I will sing of the goodness of God

I love Your voice, You have led me through the fire
In darkest nights You are close like no other
I've known You as a father, I've known You as a friend
And I have lived in the goodness of God

And all my life You have been faithful
Yes, all my life You have been so, so good
With every breath that I am able
Oh, I will sing of the goodness of God

Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
With my life laid down, I'm surrendered now, I give You everything
Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
With my life laid down, I'm surrendered now, I give You everything
Your goodness is running after, it's running after me, oh-oh

And all my life You have been faithful
Yes, all my life You have been so, so good
With every breath that I am able
Yes, I will sing of the goodness of God
And all my life You have been faithful
And all my life You have been so, so good
With every breath that I am able
Oh, I will sing of the goodness of God
Yes, I will sing of the goodness of God"
Another In The Fire,Hillsong United,"There's a grace when the heart is under fire
Another way when the walls are closing in
And when I look at the space between
Where I used to be and this reckoning
I know I will never be alone

There was another in the fire
Standing next to me
There was another in the waters
Holding back the seas
And should I ever need reminding
Of how I've been set free
There is a cross that bears the burden
Where another died for me

There is another in the fire

All my debt left for dead beneath the waters
I'm no longer a slave to my sin anymore
And should I fall in the space between
What remains of me and this reckoning
Either way I won't bow to the things of this world

'Cause I know

And I know I will never be alone

There is another in the fire
Standing next to me
There is another in the waters
Holding back the seas
And should I ever need reminding
What power set me free
There is a grave that holds no body
And now that power lives in me

There is another in the fire
There is another in the fire
There is another in the fire
There is another in the fire

I can see

And I can see the light in the darkness
As the darkness bows to Him
I can hear the roar in the heavens
As the space between wears thin

I can feel the ground shake beneath us
As the prison walls cave in
Nothing stands between us
Nothing stands between us

And there is no other name
But the name that is Jesus
He who was and still is
And will be through it all
So come what may in the space between
All the things unseen
And this reckoning
I know I will never be alone

I know. Come on
I know I will never be alone

There'll be another in the fire
Standing next to me
There'll be another in the waters
Holding back the seas
And should I ever need reminding
How good You've been to me
I'll count the joy come every battle
'Cause I know that's where You'll be

I can see the light

And I can see the light in the darkness
As the darkness bows to Him
I can hear the roar in the heavens
As the space between wears thin

I can feel the ground shake beneath us
As the prison walls cave in
Nothing stands between us
Nothing stands between

There'll be another in the fire
Standing next to me
There'll be another in the waters
Holding back the seas
And should I ever need reminding
How good You've been to me
I'll count the joy come every battle
'Cause I know that's where You'll be

Count the joy come every battle
'Cause I know that's where You'll be
Count the joy come every battle
'Cause I know that's where You'll be

Sing it again

I'll count the joy come every battle
'Cause I know that's where You'll be
I'll count the joy come every battle
'Cause I know that's where You'll be"
none,none,none
Whole Heart (Hold Me Now),Hillsong United,"Hold me now
In the hands that created the heavens
Find me now
Where the grace runs as deep as Your scars
You pulled me from the clay
You set me on a rock
Called me by Your Name
And made my heart whole again

Lifted up
And my knees know it's all for Your glory
I might stand
With more reasons to sing than to fear
You pulled me from the clay
Set me on a rock
Called me by Your Name
And made my heart whole again

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

And that grace
Owns the ground where the grave did
Where all my shame remains
Left for dead in Your wake
You crashed those age-old gates
You left no stone unturned
You stepped out of that grave
And shouldered me all the way

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now"
Did You Feel The Mountains Tremble,UPPERROOM,"Did you feel the mountains tremble?
Did you hear the oceans roar?
When the people rose to sing of
Jesus Christ, the Risen One

Did you feel the people tremble?
Did you hear the singers roar?
When the lost began to sing of
Jesus Christ, the Saving One

(We can sing that)
We can see that, God, You're moving
A mighty river through the nations
When young and old will turn to Jesus
Fling wide you heavenly gates
Prepare the way of the risen Lord

And open up the doors
And let the music play
Let the streets resound with singing
Songs that bring Your hope
Songs that bring Your joy, joy
Dancers who dance upon injustice

And do you feel the darkness tremble?
When all the saints join in one song
When all the streams flow as one river
To wash away our brokenness
(Oh, sing it out again)
Do you feel the darkness tremble?
When all the saints join in one song
And all the streams flow as one river
To wash away our brokenness

(And hear we see)
Hear we see that, God, You're moving
A time of jubilee is coming
When young and old return to Jesus
Fling wide you heavenly gates
Prepare the way of the risen Lord

So open up the doors
And let the music play
Let the streets resound with singing
Songs that bring Your hope
Songs that bring Your joy, joy
Dancers who dance upon injustice

So open up the doors
Let the music play
Let the streets resound with singing
It's songs that bring Your hope
Songs that bring Your joy, joy
Dancers who dance upon injustice

I put off all my heaviness and
I put on a garment of praise
I put off all my heaviness and
I put on a garment of praise
I put off all my heaviness and
I put on a garment of praise
I put off all my heaviness and
I put on a garment of praise
(Sing that again)
I put off all my heaviness and
I put on a garment of praise
'Cause You turned my mourning into dancing
You turned my night into day
I put off all my heaviness and
I put on a garment of praise
You turned my mourning into dancing
You turned my night into day
I put off all my heaviness

I put off all my heaviness and
I put on a garment of praise
Oh, I'm gonna praise You, I'm gonna praise You
I'm gonna praise You, I'm gonna praise You
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice
I'm gonna rejoice
Oh, I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
We praise Your name
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
Oh, I'm gonna rejoice in Your presence

'Cause I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay, to stay
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay
Thank You, Jesus
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay

So open up the doors
And let the music play
Let the streets resound with singing
'Cause it's songs that bring Your hope
Songs that bring Your joy
Dancers who dance upon injustice
(Sing that again)
Oh, open up the doors
And let the music play
Let the streets resound with singing
It's songs that bring Your hope
Songs that bring Your joy
Dancers who dance upon injustice
(Sing it one more time, open up)
Oh, open up the doors
And let the music play
Let the streets resound with singing
Songs that bring Your joy
Songs that bring Your joy
Dancers who dance upon injustice

Oh, we worship You
We honor You tonight
We honor You, we honor You, we honor You tonight"
Build My Life,Pat Barrett,"Worthy of every song we could ever sing
Worthy of all the praise we could ever bring
Worthy of every breath we could ever breathe
We live for You, oh, we live for You

Jesus, the Name above every other name
Jesus, the only One who could ever save
Worthy of every breath we could ever breathe
We live for You, we live for You

Holy, there is no one like You, there is none beside You
Open up my eyes in wonder and
Show me who You are and fill me with Your heart
And lead me in Your love to those around me

Jesus, the name above every other name
Jesus, the only One who could ever save
You're worthy of every breath we could ever breathe
We live for You, oh, we live for You

Holy, there is no one like You, there is none beside You
Open up my eyes in wonder and
Show me who You are and fill me with Your heart
And lead me in Your love to those around me

And I will build my life upon Your love, it is a firm foundation
And I will put my trust in You alone and I will not be shaken
And I will build my life upon Your love, it is a firm foundation
And I will put my trust in You alone and I will not be shaken...

Holy, there is no one like You, there is none beside You
Open up my eyes in wonder and
Show me who You are and fill me with Your heart
And lead me in Your love to those around me

I will build my life upon Your...
In You alone"
