title,arist,lyrics
when the party's over,Lewis Capaldi,"Don't you know I'm no good for you?
I've learned to lose you can't afford to
Tore my shirt to stop you bleeding
But nothing ever stops you leaving

Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
And I could lie, say I like it like that, like it like that

Don't you know too much already?
I'll only hurt you if you let me
Call me friend, but keep me closer
And I'll call you when the party's over

Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
And I could lie, say I like it like that, like it like that

But nothing is better, sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go

Quiet when I'm coming home and I'm on my own
Quiet when I'm coming home and I'm on my own
Quiet when I'm coming home and I'm on my own
Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
And I could lie, say I like it like that, like it like that

Quiet when I'm coming home and I'm on my own"
No Tears,RilËs,"I ain't got no one to fear
I ain't impressed anymore
I don't see but I feel
Sour energy brought me there
Search into you and the paper's gon fill up itself
So fuck if you curse when I flex
Fuck I'm not kind and stupid, better serve me respect
I think I'm good at feeling bad
Don't be too nice when scavengers are ready to bounce
I picture plans in my head
Darker than Dinka
Venom pushing up my edges
I won't let dirt on my name
Do it for fun
'Front of me bitch you bargain
I ain't got a lot to sing
Still alive just for the hate that I hate, bitch
You gon' remember the name
Jungle ain't shit when you're beaten all over again
Smoking the shine in my eyes and I'm left with some apeshit
Enlighten but thoughts are the darkest
Wildin' everywhere but in the jungle
Come to R city we 'bout to fuck the freckles of your face
In you flaws you don't wanna, wanna
Racing against myself faster, faster
If I slow down it's the ganja, ganja
If I fuck up it's the karma, karma

No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light
No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light

Promise me you won't be falling
Say to me you are my greatest opponent
I keep the backbone solid
Tahia DjazaÔr
Baba grew up in the sand and the mountains
Fuck what you heard if you hear what you're saying
Didn't like my song
You said ""this shit's amazing""
I'm tired of the Yes-men
I'm tired of the Yasminas
Tired of the elephantshit I see

Ouh skibidibam
Back in her pussy it has been while (while)
Ouh shaking new hands
Fucking new bitches and making new songs (muy bien)
Ouh back and I run
Feel like my libido me never done
Why you keep on running when your legs already broken?

Now I'm putting down the 'juana
Back to the hagla
Is you really? I said kinda
Pray that my sins never come back
Bypass the drama
Look ain't no blood on my contracts
And imma dance like a warrior
Salam hyenas
You cannot switch off the phoenix
This ain't no threat but my simple statement
Welcome to the jungle RilËs vs Satan

No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light
No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light"
Come Out And Play,Billie Eilish,"Wake up and smell the coffee
Is your cup half full or empty?
When we talk, you say it softly
But I love it when you're awfully quiet, quiet

You see a piece of paper
Could be a little greater
Show me what you could make her
You'll never know until you try it
You don't have to keep it quiet

And I know it makes you nervous
But I promise you, it's worth it
To show 'em everything you kept inside
Don't hide, don't hide
Too shy to say, but I hope you stay
Don't hide away
Come out and play

Look up, out of your window
See snow, won't let it in though
Leave home, feel the wind blow
'Cause it's colder here inside in silence
You don't have to keep it quiet

Yeah, I know it makes you nervous
But I promise you, it's worth it
To show 'em everything you kept inside
Don't hide, don't hide
Too shy to say but I hope you stay
Don't hide away
Come out and play"
Ghost,Au/Ra & Alan Walker,"Today I'm kinda feelin' like a ghost
Call my friends but ain't nobody home
Tell myself I'm fine, but I don't really know
I'm just scared that I'll end up
I'll end up, I'll end up alone

I never let it show
But I feel like a missed call on a phone
Tryna live my life pay as you go
But I'm so scared that I'll end up
I'll end up, I'll end up alone

You know I'm like a ghost
Sometimes I have to fade
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost
I see it in your face
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost...

You know I never meant to cut you off
Got phantom feelings I can never stop
Stranger things to worry 'bout I know
But I'm so scared that I'll end up
I'll end up, I'll end up alone

I can't see myself in the mirror
Does that mean I'm not really here?
I'm losin' touch with everything I know
And I'm so scared that I'll end up
I'll end up, I'll end up alone

You know I'm like a ghost
Sometimes I have to fade
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost
I see it in your face
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost

You know I'm like a ghost...
Ooh, I'll be OK
I'll be alright
I know, Ooh, I'll be OK

I'm just scared that I'll end up alone

You know I'm like a ghost
I see it in your face
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost"
Lily,"Alan Walker, K-391 & Emelie Hollow","Lily was a little girl
Afraid of the big, wide world
She grew up within her castle walls
Now and then she tried to run
And then on the night with the setting sun
She went in the woods away
So afraid, all alone

They warned her, don't go there
There's creatures who are hiding in the dark
Then something came creeping
It told her, don't you worry just

Follow everywhere I go
Top of all the mountains or valley low
Give you everything you've been dreaming of
Just let me in, ooh
Everything you want in gold
I'll be the magic story you've been told
And you'll be safe under my control
Just let me in, ooh
Just let me in, ooh

She knew she was hypnotized
And walking on cold thin ice
Then it broke, and she awoke again

Then she ran faster and
Start screaming, is there someone out there?
Please help me, come get me
Behind her, she can hear it say

Follow everywhere I go
Top of all the mountains or valley low
Give you everything you've been dreaming of
Just let me in, ooh
Everything you want in gold
I'll be the magic story you've been told
And you'll be safe under my control
Just let me in, ooh
Just let me in, ooh

Everything you want in gold
I'll be the magic story you've been told
And you'll be safe under my control
Just let me in, ooh

Follow everywhere I go
Top of all the mountains or valley low
Give you everything you've been dreaming of
Just let me in, ooh
Then she ran faster and
Start screaming, is there someone out there?
Please help me
Just let me in, ooh"
none,none,none
East Coast (Remix),ASAP Ferg,"[A$AP Ferg:]
Run it up, run it up, run it up, run it up (remix)
Fuck that shit, we get turnt 'til the sun is up
All of you niggas get burnt when the gun is up
This that East Coast motherfucker
Call me Mr. East Coast motherfucker
[Busta Rhymes:]
Let me give them a friendly reminder real quick, yo

Y'all already know the god gotta talk
Every single time I come you niggas know I gotta do it
Yes I gotta do it and I gotta kill em and I gotta hit em
Yes you know a nigga gotta beat em stupid
Only got 41 seconds just to give a nigga shit
Every second bitch I gotta use it
Some wack, a nigga blew it and I cannot
Grab the microphone and not make a motherfucker lose it
And I make niggas jump in the back
Niggas up, she in the back of the truck
Lil' mommy wanna fuck and she really wanna suck
When I finish with it then we go in the back of the club
And we do this shit again my nigga, pronto
Bip-de-badda-de-booda-de-beat it like a bongo
Banging on the pussy like a nigga named Alonzo
Head game crazy, that make her the head honcho
Mad cause I took his bitch and now he thinks he macho?
Somebody better call the cops yo
'Fore we run up inside of that nigga's lil' condo
Put him in a box so the nigga in a cargo (cargo, cargo)
Shut a nigga down (fake bitch)
Throw a bottle at ya, shut a nigga mouth (break shit)
Come and follow me, stand up on the couch (shake shit)
Let us wallow, niggas know we're in the house (trey fifth)
East Coast nigga!

[A$AP Ferg:]
10031 is where my zip is
Livin how I live up in the trenches
Run through a bodega like I ain't got riches
Run through a bodega like I ain't got (come on)
Don't do it for the haters, I do it for the bitches
My flow Al-Qaeda, I kill rap niggas
Y'all Now and Laters, sweet ass-niggas
Soon as you get famous, they wanna ass-kiss
Only thing that I'm missing is Hov verse (JAY-Z)
I get a feeling, they want the old Ferg
""Cocaine Castle"", ""Hood Pope"" Ferg
Got a question to ask, do you know Ferg?
Do you know that I come from where the toast burn?
New York, New York, I run for dirt
On Hungry Ham up on the corner
Fiends taste the lean, they never sober
For being in the streets to run a culture
I never been in the weave, I had hoes, brah
Who's that jiggy motherfucker with the clothes, brah?
I'm finna kill these motherfuckers with the flow, brah
I'm the best in the game with the flow, brah
In New York I Milly Rock to Magnolia
I love the East but shoutout to every coast, brah
South to North and even West Coast, brah

[A$AP Rocky:]
Blackin' like I'm fresh out from retirement
My flow still monumental
Mental, couldn't ride an instrumental but they ridin' dick
I set the standard for requirements, so call the firemen
Just me, myself and I, the world is mine, I put the ""I"" in his
His posse too clean, his diamonds like tip
His skin too clear, his bitch gon' stare
So mind your biz, how they find the time for minding mine
I find these college chicks for top with Kylie's lips
Oh my, oh my (running)
Running, running like you want it (running)
Running, running like you stole it (running)
Running, running like I'm going (woo)
Running, pitching like I'm bowling (woo)
In my city, gangs run the inner city
Load a semi for the chiddy bang
Flacko, Fergie, Frenchie with the bitties
Hit up Remy for the pretty gang

[Dave East:]
Lately I feel like a Beatle
I'm Paulie McCartney just rocking Moschino
Moscato or Pinot
I got some bitches to hop in the Regal, phenomenal deep throat
I'm more Ali than Muhammad
My noodles was Ramen, go Google my diamonds
I got some shooters in college
I feel like a coach, I'm recruiting and signing
Look, I still be moving in silence
I'm ballin' in blue like I'm hooping in Dallas
Bitch I don't play for no Mavericks
You need to think who gon' pay for your casket
Ignorant bastard
But I'm still conscious enough to give hope to the masses
Watch the coke do gymnastics
Dominique Dawes, foreign my car when I'm mashin'

[French Montana:]
Chain busting it down, wrist busting it down
Your bitch busting it down, rap game up fucking it now
I could be a jeweler, neck on Slick the Ruler
You niggas is comedy, talking fast like Bone Thugs-N-Harmony
KRS-One, Big L flows
Son of a gun with the Buffalo
Head on my wrist is a P1
Made more money than E1
One time Chinx, two time Yams (Yams)
Get the money slide like a violin
You know my nigga Max almost home
You know we run the East Coast zone nigga

[Rick Ross:]
In the kitchen culinary, I could whip a Bloody Mary
And I wish that blood would dead me, I'ma get your brother burried
Gangbanging with your halo, business on the payphone
Bitches pussies drying up, like Taz's Angels
Never was a client, 'cause that boy ain't buying it
And I got a bottom bitch, my top come on consignment
Step up from the minor league, double M the dynasty
No I never sold dope, I just got me a finder's fee
Following my frequency, niggas rapping week to week
Suckers be so weak to me, text but don't speak to me
You can never speak for me, see the B.I. chemistry
Check into the crazy house, I'ma turn the labels out

[A$AP Ferg:]
Run it up, run it up, run it up, run it up
Run it up, run it up, run it up, run it up (remix)
Fuck that shit, we get turnt 'til the sun is up
All of you niggas get burnt when the gun is up
This that East Coast motherfucker
But I know this West Coast (Snoop Dogg)

[Snoop Dogg:]
10-20 was my date of birth, the day I came to Earth
Bottles sipping, love to burp, young nigga that's doing dirt
Long Beach across my shirt, all y'all niggas gon' get merked
What the fuck is you talking 'bout?
Me and Ferg, we gon' put in work
Bang on ya' gang culture, out of this world
It's all on a bitch, is she a Blood? Is she a Crip?
Don't slip, think not, on the block where it's hot
Legalize with the nines, give a fuck about a cop
Real shit, this is it, from the bottom to the Bay
This is anybody K, California all day
Yes-sir, on the curb, Mossberg by the band
Little homies on the roof with the blam, blam, blam!
Long Beach, popping pill on 'em
I been working so hard, nigga, get your bale on
I been working so hard, nigga, work to sell somethin'
I been working so hard, welcome to the hellzone, zone, zone
See I'm from Long Beach

[A$AP Ferg (Snoop Dogg):]
Run it up, run it up, run it up, run it up
Run it up, run it up, run it up, run it up, remix
(See I'm from Long Beach)
Fuck that shit, we get turnt 'til the sun is up
All of you niggas get burnt when the gun is up
(See I'm from Long Beach)
This that East Coast motherfucker
(California motherfucker, see I'm from Long Beach)
Call me Mr. East Coast motherfucker
(West Coast)"
Voice Memo (Heaven On Earth),Mosaic MSC,"You are all around me
You are all around me
You are all around me
You are all around me

You are my protector
You are my protector
You are my protector
You are my protector

You have always seen me
You have always seen me
You have always seen me
You have always seen me

With heart and with soul
With every breath, You compose a symphony
What beautiful hope believes in me

I will always love You
I will always love You
I will always love You
I will always love You

With heart and with soul (I will always love You)
With heart and with soul (I will always love You)
With heart and with soul (I will always love You)
With heart and with soul (I will always love You)
With heart and with soul (I will always love You)
With heart and with soul (I will always love You)
Heaven on earth is life with You"
none,none,none
With You (Paradoxology),Elevation Worship,"Beneath the surface
Of my anxious imagination
Beckons a calmness
That is found in You alone

It washes over
Every doubt, every imperfection
Jesus, Your presence
Is the comfort of my soul

There's nowhere I'd rather be
When You're singing over me
I just wanna be here with You
I'm lost in Your mystery
I'm found in Your love for me
I just wanna be here with You

Here in the waiting
I won't worry about tomorrow
No need to focus
On the things I can't control

All my attention
On the wonder of this moment
Jesus, your presence
Is the comfort of my soul

There's nowhere I'd rather be
When You're singing over me
I just wanna be here with You
I'm lost in Your mystery
I'm found in Your love for me
I just wanna be here with You

So let all that I am
Be consumed with who You are
All the glory of Your presence
What more could I ask for?

So let all that I am
Be consumed with who You are
All the glory of Your presence
What more could I ask for?

So let all that I am
Be consumed with who You are
All the glory of Your presence
What more could I ask for?

There's nowhere I'd rather be
When You're singing over me
I just wanna be here with You
I'm lost in Your mystery
I'm found in Your love for me
I just wanna be here with You"
Don't Take Away The Music,Tavares,"Don't take away the music
It's the only thing I've got
It's my piece of the rock

I knew you were always there
You were my song (you were my song)
How am I supposed to bear it
Now that you're gone

Would you separate the words
Ooh, from a sweet melody
Baby, would you take away
The music from a symphony

Don't take away (don't take away) the music (please)
It's the only thing I've got
It's my piece of the rock
Don't take away (don't take away) the music (no)
Everything else is gone
Don't strip my world of its song

Every time you whispered low
My heart would sing (my heart would sing)
Now it's silent like a phone
The phone that never rings

Memories of love's refrain
Memories keep haunting me
What are we doing to the song we sang
What happened to our sweet harmony

Don't take away (don't take away) the music (please)
It's the only thing I've got
It's my piece of the rock (don't take, don't take, you)
Don't take away (don't take away) the music (no)
Everything else is gone
Don't strip my world of its song

Don't take my music, ooh-hoo-hoo
Don't take my music, ooh-hoo-hoo (no, no, no)
Don't take my music, ooh-hoo-hoo (don't take away, oh love, please)
Don't take my music, ooh-hoo-hoo (leave me here with nothing)

Oh-oh-oh-oh, oh-oh-oh-oh, oh, oh
Oh-oh-oh-oh, oh-oh-oh-oh
Since you're not here with me
My whole life seems out of key

Don't take away (don't take away) the music (please)
It's the only thing I've got
It's my piece of the rock (don't take, don't take, you)
Don't take away (don't take away, yeah) the music (please)
Everything else is gone
Don't strip my world of its song

Don't take away (don't take away) the music (no)
It's the only thing I've got
It's my piece of the rock
Don't take my music, ooh-hoo-hoo
Don't take my music, ooh-hoo-hoo
Don't take my music, ooh-hoo-hoo
Don't take my music, ooh-hoo-hoo

Oh-oh-oh-oh, oh-oh-oh-oh, oh, oh
Oh-oh-oh-oh, oh-oh-oh-oh, oh, oh

Don't take away the music
It's the only thing I've got
It's my piece of the rock
Don't take away (don't take away, yeah) the music (I love ya)
Everything else is gone
Don't strip my world of its song (don't take, don't take, you)

Don't take my music, ooh-hoo-hoo (you got my heart, y'see)
Don't take my music, donít take it away (you're havin' fun)
Don't take my music, ooh-hoo-hoo (with no heart left in me, baby)
Don't take my music, donít take it away (since you been gone)

Don't take my music, ooh-hoo-hoo
Don't take my music, donít take it away
Don't take my music, ooh-hoo-hoo
Don't take my music, donít take it away

Oh-oh-oh-oh, oh-oh-oh-oh, oh, oh
Oh-oh-oh-oh, oh-oh-oh-oh, oh, oh

Don't take my music, ooh-hoo-hoo
Don't take my music, donít take it away
Don't take my music, ooh-hoo-hoo
Don't take my music, donít take it away
Don't take my music"
Rio (Remix),Netsky,"[Macklemore:]
Yeah
""Rio"" remix
Netsky, Macklemore
Ayy, ayy

[Digital Farm Animals:]
Wherever she goes, I go, we roll, we go
Flying over cities down to Rio, it's real
Love that I feel, well nothing lasts forever
But I'm down for the minute so just chill
Wherever she goes, I go, we roll, we go
Flying over cities down to Rio, it's real
Love that I feel, well nothing lasts forever
But I'm down for the minute so just chill

[Digital Farm Animals:]
Wherever she goes, I go, we roll, we go
Flying over cities down to Rio, it's real
Love that I feel, well nothing lasts forever
But I'm down for the minute so just chill
Wherever she goes, I go, we roll, we go
Flying over cities down to Rio, it's real
Love that I feel, well nothing lasts forever
But I'm down for the minute so just chill

[Macklemore:]
It's the ìRioî remix, you should see us
Swimming in the ocean like the pool is hella heated
Expedited Visa and I'm posted with my feet up
Parasailing over beaches, got my girl from Ipanema
I ain't tripping if I'm mad blessed, nah
I'm a bossa nova Stan Getz
IÖ palm trees in the sandwich
Like girl, hell nah, we ain't leaving the hammock
El Dorado panoramic, listen, I'mma use some spandex
Whispered something in my ear, I did not understand it
But I do not need to speak the language
She's magic, pull a hat trick, freaky though
Supposed to go tomorrow, I know that I ain't leaving though
Every day is Carnival and that's that shit that we be on
I keep it on that need to know, posted on the front steps
Life goes by, Rio, Rio in the sunset

[Digital Farm Animals:]
Wherever she goes, I go, we roll, we go
Flying over cities down to Rio, it's real
Love that I feel, well nothing lasts forever
But I'm down for the minute so just chill
Wherever she goes, I go, we roll, we go
Flying over cities down to Rio, it's real
Love that I feel, well nothing lasts forever
But I'm down for the minute so just chill"
Fuck Me Up,gnash,"Am I dead?
Or am I drunk?
Am I high?
Am I in love?

You fuck me up
You fuck me up
You fuck me up
You fuck me up

I hope you don't disappoint me with decisions
You know I'll be disappearing with the quickness
Enticing lightskin pull me in with your pussuasion
I take you home turn off your phone call it vacation
Ensue relations

Am I dead?
Or am I drunk?
Am I high?
Am I in love?

You fuck me up
You fuck me up
You fuck me up
You fuck me up

You my new addiction
In my t-shirt in my kitchen
Cuz I've got all these issues
Will you be my prescription?

You don't want to let me get her all alone
Cuz you ain't never gonna get her on the phone (again)
You know and I know that this shit is your bitches favorite song
And she call me poppa when we playing doctor don't take it wrong
(Yeah, yeah)

Am I dead?
Or am I drunk?
Am I high?
Am I in love?

You fuck me up
You fuck me up
You fuck me up
You fuck me up

I hope you don't disappoint me with decisions
You know I'll be disappearing with the quickness
Enticing lightskin pull me in with your pussuasion
I take you home turn off your phone call it vacation
Ensue relations

You my new addiction
In my t-shirt in my kitchen
Cuz I've got all these issues
Will you be my prescription?

You don't want to let me get her all alone
Cuz you ain't never gonna get her on the phone (again)
You know and I know that this shit is your bitches favorite song
And she call me poppa when we playing doctor don't take it wrong
(Yeah, yeah)

Am I dead?
Or am I drunk?
Am I high?
Am I in love?

You fuck me up [x13]"
Closure,Trevor Daniel,"Carousel, back around and you go again
One too many times, I'm off now, it's the end
Carousel, back around and you go again
I was down to ride but no, no, no
I can't win with you

If it's over, then it's over
Do not hit my line just 'cause you need closure
You said it yourself, you don't want me
Now I'm fine on my own, and you're lonely
If it's over, then it's over
Do not hit my line just 'cause you need closure
You said it yourself, you don't want me
Now I'm fine on my own, and you're lonely

Here we go, here we go again
I can't let it go, leave it in the past
I guess we'll never know, what we could've been
Never give my love back to you again
If you think I'm coming back, no I'm not, no, I'm not sorry
I'm not giving in, so, baby, do not bother calling
What was going through your head?
What'd you think I'd say?
Can't stand to see your face
Tired of your games

Carousel, back around and you go again
One too many times, I'm off now, it's the end
Carousel, back around and you go again
I was down to ride but no, no, no
I can't win with you

If it's over, then it's over
Do not hit my line just 'cause you need closure
You said it yourself, you don't want me
Now I'm fine on my own, and you're lonely
If it's over, then it's over
Do not hit my line just 'cause you need closure
You said it yourself, you don't want me
Now I'm fine on my own, and you're lonely

Just 'cause I tripped over your lies
So many times, doesn't mean I'm gonna let it happen again
Go ahead, talk shit to your friends
No, it don't bother me
No maybes girl no probablys
You claiming that you changed
Say you're down for me
But I'm not falling for that

Carousel, back around and you go again
One too many times, I'm off now, it's the end
Carousel, back around and you go again
I was down to ride but no, no, no
I can't win with you

If it's over, then it's over
Do not hit my line just 'cause you need closure
You said it yourself, you don't want me
Now I'm fine on my own, and you're lonely
If it's over, then it's over
Do not hit my line just 'cause you need closure
You said it yourself, you don't want me
Now I'm fine on my own, and you're lonely"
I Hate You I Love You / Too Good,Alex Aiono,"Feeling used
But I'm
Still missing you
And I can't
See the end of this
Just wanna feel your kiss
Against my lips
And now all this time
Is passing by
But I still can't seem to tell you why
It hurts me every time I see you
Realize how much I need you...
I hate you, I love you
I hate that I love you
Don't want to but I can't put
Nobody else above you
I hate you, I love you
I hate that I want you
You want her, you need her
And I'll never be her

I don't know how to talk to you
I don't know how to ask you
If you're okay
My friends always
Feel the need to tell me things
Seems like they're just happier
Than us these days
Yeah, these days I don't know
How to talk to you
I don't know to be there
When you need me
It feels like the only time you'll see me
Is when you turn your head
To the side and look at me differently
Ohh...
Yeah, and last night
I think I lost my patience
Last night I got high as your expectations
Last night, oh I came to realization
And I hope you could take it
I hope you could take it all

I'm too good to you
I'm way too good to you
You take my love for granted
I just don't understand it

I'm too good to you
I'm way too good to you
You take my love for granted
I just don't understand it

Ohh...
I'm too good to you
I'm way too good to you
You take my love for granted
I just don't understand it
I hate you, I love you
I hate that I want you
You want her, you need her
And I will never be her"
As You Find Me,Hillsong United,"I've been strong and I've been broken within a moment
I've been faithful and I've been reckless at every bend
I've held everything together and watched it shatter
I've stood tall and I have crumbled in the same breath

I have wrestled and I have trembled toward surrender
Chased my heart adrift and drifted home again
Plundered blessing till I've been desperate to find redemption
And every time I turn around Lord You're still there

I was found before I was lost
I was Yours before I was not
Grace to spare for all my mistakes
And that part just wrecks me

And I know I
I don't deserve this kind of love
Somehow
This kind of love is who You are
It's a grace I could never add up
To be somebody You still want
Somehow
You love me as You find me

Who am I to think Your glory needs my praises
But if this borrowed breath is Yours Lord take it all
You are faithful and You are gracious and I'm just grateful
To think you don't need a single thing and still You want my heart

I was found before I was lost
I was Yours before I was not
You wear the scars
And that part just wrecks me

And I know I
I don't deserve this kind of love
Somehow
This kind of love is who You are
It's a grace I could never add up
To be somebody You still want
Somehow
You love me as You find me
You love me as You find me
You love me as You find me
You love me as You find me

Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here
If you want my heart I won't second guess
Cause I need Your love more than anything
I'm in
I'm Yours
Your love's too good to leave me here
Your love's too good to leave me here
Your love's too good

And I know I
I don't deserve this kind of love
Somehow
This kind of love is who You are
It's a grace I could never add up
To be somebody You still want
Somehow
You love me as You find me
You love me as You find me
You love me as You find me"
Hosanna,Hillsong United,"I see the King of glory
Coming on the clouds with fire
The whole earth shakes
The whole earth shakes

Yeah

I see His love and mercy
Washing over all our sin
The people sing
The people sing

[Chorus]
Hosanna
Hosanna
Hosanna in the highest [x2]

I see a generation
Rising up to take their place
With selfless faith
With selfless faith

I see a near revival
Stirring as we pray and seek
We're on our knees
We're on our knees

[Chorus]

Heal my heart and make it clean
Open up my eyes to the things unseen
Show me how to love like You have loved me

Break my heart for what breaks Yours
Everything I am for Your kingdom's cause
As I walk from earth into eternity

[Chorus x2]

Hosanna in the highest"
Whole Heart (Hold Me Now),Hillsong United,"Hold me now
In the hands that created the heavens
Find me now
Where the grace runs as deep as Your scars
You pulled me from the clay
You set me on a rock
Called me by Your Name
And made my heart whole again

Lifted up
And my knees know it's all for Your glory
I might stand
With more reasons to sing than to fear
You pulled me from the clay
Set me on a rock
Called me by Your Name
And made my heart whole again

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

And that grace
Owns the ground where the grave did
Where all my shame remains
Left for dead in Your wake
You crashed those age-old gates
You left no stone unturned
You stepped out of that grave
And shouldered me all the way

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now"
99 Luftballons,Nena,"Hast du etwas Zeit f¸r mich?
Dann singe ich ein Lied f¸r dich
Von neunundneunzig Luftballons
Auf ihrem Weg zum Horizont
Denkst du vielleicht grad an mich?
Dann singe ich ein Lied f¸r dich
Von neunundneunzig Luftballons
Und dass sowas von sowas kommt

Neunundneunzig Luftballons
Auf ihrem Weg zum Horizont
Hielt man f¸r Ufos aus dem All
Darum schickte ein General
'ne Fliegerstaffel hinterher
Alarm zu geben, wenn's so w‰r
Dabei war'n dort am Horizont
Nur neunundneunzig Luftballons

Neunundneunzig D¸senflieger
Jeder war ein groﬂer Krieger
Hielten sich f¸r Captain Kirk
Das gab ein groﬂes Feuerwerk
Die Nachbarn haben nichts gerafft
Und f¸hlten sich gleich angemacht
Dabei schoss man am Horizont
Auf neunundneunzig Luftballons

Neunundneunzig Kriegsminister
Streichholz und Benzinkanister
Hielten sich f¸r schlaue Leute
Witterten schon fette Beute
Riefen: ""Krieg!"" und wollten Macht
Mann, wer h‰tte das gedacht
Dass es einmal so weit kommt
Wegen neunundneunzig Luftballons
Wegen neunundneunzig Luftballons
Neunundneunzig Luftballons

Neunundneunzig jahre Krieg
Lieﬂen keinen Platz f¸r Sieger
Kriegsminister gibt's nicht mehr
Und auch keine D¸senflieger
Heute zieh ich meine Runden
Seh die Welt in Tr¸mmern liegen
Hab 'n Luftballon gefunden
Denk an dich und lass ihn fliegen"
Strangers Like Me,Peter Hollens,"Whatever you do, I'll do it too
Show me everything and tell me how
It all means something
And yet nothing to me

I can see there's so much to learn
It's all so close and yet so far
I see myself as people see me
Oh, I just know there's something bigger out there

I wanna know, can you show me
I wanna know about these
Strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

Every gesture, every move that she makes
Makes me feel like never before
Why do I have
This growing need to be beside her

Ooo, these emotions I never knew
Of some other world far beyond this place
Beyond the trees, above the clouds
I see before me a new horizon

I wanna know, can you show me
I wanna know about these strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

Come with me now to see my world
Where there's beauty beyond your dreams
Can you feel the things I feel
Right now, with you
Take my hand
There's a world I need to know

I wanna know, can you show me
I wanna know about these strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

I wanna know"
I Want It That Way,Backstreet Boys,"Yeah...

[Brian:]
You are my fire
The one desire
Believe when I say
I want it that way

[Nick:]
But we are two worlds apart
Can't reach to your heart
When you say
That I want it that way

[Chorus:]
Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

[AJ:]
Am I your fire
Your one desire
Yes I know it's too late
But I want it that way

[Chorus:]
Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

[Kevin:]
Now I can see that we're falling apart
From the way that it used to be, yeah
No matter the distance
I want you to know
That deep down inside of me...

[Howie:]
You are my fire
The one desire
You are
You are, you are, you are

Don't wanna hear you say
Ain't nothin' but a heartache
Ain't nothin' but a mistake (don't wanna hear you say)
I never wanna hear you say (oh, yeah)
I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin but a mistake
Tell me why
I never wanna hear you say (don't wanna hear you say)
I want it that way

Tell me why
Ain't nothin' but a heartache
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say (never wanna hear you say)
I want it that way

'Cause I want it that way"
none,none,none
