title,arist,lyrics
Whole Heart (Hold Me Now),Hillsong United,"Hold me now
In the hands that created the heavens
Find me now
Where the grace runs as deep as Your scars
You pulled me from the clay
You set me on a rock
Called me by Your Name
And made my heart whole again

Lifted up
And my knees know it's all for Your glory
I might stand
With more reasons to sing than to fear
You pulled me from the clay
Set me on a rock
Called me by Your Name
And made my heart whole again

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

And that grace
Owns the ground where the grave did
Where all my shame remains
Left for dead in Your wake
You crashed those age-old gates
You left no stone unturned
You stepped out of that grave
And shouldered me all the way

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now"
99 Luftballons,Nena,"Hast du etwas Zeit für mich?
Dann singe ich ein Lied für dich
Von neunundneunzig Luftballons
Auf ihrem Weg zum Horizont
Denkst du vielleicht grad an mich?
Dann singe ich ein Lied für dich
Von neunundneunzig Luftballons
Und dass sowas von sowas kommt

Neunundneunzig Luftballons
Auf ihrem Weg zum Horizont
Hielt man für Ufos aus dem All
Darum schickte ein General
'ne Fliegerstaffel hinterher
Alarm zu geben, wenn's so wär
Dabei war'n dort am Horizont
Nur neunundneunzig Luftballons

Neunundneunzig Düsenflieger
Jeder war ein großer Krieger
Hielten sich für Captain Kirk
Das gab ein großes Feuerwerk
Die Nachbarn haben nichts gerafft
Und fühlten sich gleich angemacht
Dabei schoss man am Horizont
Auf neunundneunzig Luftballons

Neunundneunzig Kriegsminister
Streichholz und Benzinkanister
Hielten sich für schlaue Leute
Witterten schon fette Beute
Riefen: ""Krieg!"" und wollten Macht
Mann, wer hätte das gedacht
Dass es einmal so weit kommt
Wegen neunundneunzig Luftballons
Wegen neunundneunzig Luftballons
Neunundneunzig Luftballons

Neunundneunzig jahre Krieg
Ließen keinen Platz für Sieger
Kriegsminister gibt's nicht mehr
Und auch keine Düsenflieger
Heute zieh ich meine Runden
Seh die Welt in Trümmern liegen
Hab 'n Luftballon gefunden
Denk an dich und lass ihn fliegen"
Strangers Like Me,Peter Hollens,"Whatever you do, I'll do it too
Show me everything and tell me how
It all means something
And yet nothing to me

I can see there's so much to learn
It's all so close and yet so far
I see myself as people see me
Oh, I just know there's something bigger out there

I wanna know, can you show me
I wanna know about these
Strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

Every gesture, every move that she makes
Makes me feel like never before
Why do I have
This growing need to be beside her

Ooo, these emotions I never knew
Of some other world far beyond this place
Beyond the trees, above the clouds
I see before me a new horizon

I wanna know, can you show me
I wanna know about these strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

Come with me now to see my world
Where there's beauty beyond your dreams
Can you feel the things I feel
Right now, with you
Take my hand
There's a world I need to know

I wanna know, can you show me
I wanna know about these strangers like me
Tell me more, please show me
Something's familiar about these strangers like me

I wanna know"
I Want It That Way,Backstreet Boys,"Yeah...

[Brian:]
You are my fire
The one desire
Believe when I say
I want it that way

[Nick:]
But we are two worlds apart
Can't reach to your heart
When you say
That I want it that way

[Chorus:]
Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

[AJ:]
Am I your fire
Your one desire
Yes I know it's too late
But I want it that way

[Chorus:]
Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

[Kevin:]
Now I can see that we're falling apart
From the way that it used to be, yeah
No matter the distance
I want you to know
That deep down inside of me...

[Howie:]
You are my fire
The one desire
You are
You are, you are, you are

Don't wanna hear you say
Ain't nothin' but a heartache
Ain't nothin' but a mistake (don't wanna hear you say)
I never wanna hear you say (oh, yeah)
I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin but a mistake
Tell me why
I never wanna hear you say (don't wanna hear you say)
I want it that way

Tell me why
Ain't nothin' but a heartache
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say (never wanna hear you say)
I want it that way

'Cause I want it that way"
none,none,none
Regret,Will Reagan,"I remember back then
Back when we were friends
You knew where we were going
I knew where we'd been

But now that I am older
I feel it all, but I feel nothing
I remember then
I feel nothing, but I feel it all
I remember then
I remember then

I used to know Your matters
You used to know my sins
I met You without warning
You taught me how to bend
We walk within the borders
Of [?]
We held each other's banter
And saw the flood begin

And now that I am older
I feel it all, but I feel nothing
I remember then
I feel nothing, but I feel it all
I remember then
I remember then

I regret what I've become
Even if I live to share it
I regret what saw my eyes
When I could no longer bear it
I regret what I've become
Even if I live to share it
I regret what saw my eyes
When I could no longer bear it

I stand before You reckless
And haunted by the truth
I'm feeling like a slow hit [?]
My throat is feeling dry
And my hands are feeling numb
I couldn't see it coming
You would've seen me run

I used to know You're honest
You used to know I'm true
I used to know You woo'd me
And stayed to see me through"
Simple Gospel,United Pursuit,"I want to know you, Lord
Like I know a friend
I want to know you, Lord

I want to know you, Lord
Like I know a friend
I want to know you, Lord

So I'm laying down all my religion
I'm laying down
I want to know you, Lord
I'm laying down all my religion
I'm laying down
I want to know you, Lord

I use to think that I could box you in
But I'm laying down
I want to know you, Lord
I use to think that I could box you in
But I'm laying down
I want to know you, Lord

I'm laying down all my religion
I'm laying down
I want to you know you, Lord
I'm laying down all my religion
I'm laying down
I want to know you, Lord
I want to know you, Lord

Lord, I've been told to be ashamed
Lord, I've been told I don't measure up
Lord, I've been told I'm not good enough
But you're here with me

I reach out and you find me in the dust
You say no amount of untruths can separate us
I reach out and you find me in the dust
You say no amount of untruths can separate us
I reach out and you find me in the dust
You say no amount of untruths can separate us

I will rejoice in the simple gospel
I will rejoice in you, Lord

And I reach out and you find me in the dust
You say no amount of untruths can separate us

I will rejoice in the simple gospel
I will rejoice in you, Lord

I will rejoice in the simple gospel
I will rejoice in you, Lord"
Medley: I Love You Lord / Passion (Acoustic),Hillsong Young & Free,"[Laura Toggs:]
I love You, Lord
And I lift my voice
To worship You
Oh, my soul, rejoice
Take joy my King
In what You hear
And let it be a sweet, sweet sound
Let it be a sweet, sweet sound
Let it be a sweet, sweet sound
In Your ear

All I have is Yours
Take my life Jesus
Let my heart sing
How I love You, Lord
How I need You, Jesus
Who I am, who I have, Jesus
I love You (You are everything)
I love You (In my life, take who I am)
I love You (How I love You Lord)
I love You (How I need You, Jesus)
I love You (Hear my heart sing)
I love You (Oh my God)
I love You (I love You, Jesus)
I love You (I love You, Lord)
I love You (I love You, Lord)
Ohh (So I sing, so I sing)
I love You
I love You
I love You

You're brighter than the sun
Risen from the shadows
Seated on the throne of majesty
Higher than the skies and all we see

You're brighter than the sun
Risen from the shadows
Seated on the throne of majesty
Higher than the skies and all we see"
Highlands (Song Of Ascent),Hillsong United,"O how high would I climb mountains
If the mountains were where You hide
O how far I'd scale the valleys
If You graced the other side

O how long have I chased rivers
From lowly seas to where they rise
Against the rush of grace descending
From the source of its supply

Cause in the highlands and the heartache
You're neither more or less inclined
I would search and stop at nothing
You're just not that hard to find

Oh I will praise You on the mountain
And I will praise you when the mountain's in my way
You're the summit where my feet are
So I will praise You in the valleys all the same
No less God within the shadows
No less faithful when the night leads me astray
Cause You're the Heaven where my heart is
In the highlands and the heartache all the same

O how far beneath Your glory
Does Your kindness extend the path
From where your feet rest on the sunrise
To where You sweep the sinner's past

And though how fast would you come running
If just to shadow me through the night
Trace my steps through all my failures
And walk me out the other side

For who could dare ascend that mountain
That valleyed hill called Calvary
But for the One I call Good Shepherd
Who like a lamb was slain for me

Oh I will praise You on the mountain
And I will praise you when the mountain's in my way
You're the summit where my feet are
So I will praise You in the valleys all the same
No less God within the shadows
No less faithful when the night leads me astray
Cause You're the Heaven where my heart is
In the highlands and the heartache all the same

Sing it out

Whatever I walk through
Wherever I am
Your Name can move mountains
Wherever I stand
And if ever I walk through
The valley of death
I'll sing through the shadows
My song of ascent

Whatever I walk through
Wherever I am
Your Name can move mountains
Wherever I stand
And if ever I walk through
The valley of death
I'll sing through the shadows
My song of ascent
My song of ascent

Sing it out

My song of ascent

From the gravest of all valleys
Come the pastures we call grace
A mighty river flowing upwards
From a deep but empty grave

So I will praise You on the mountain
And I will praise you when the mountain's in my way
You're the summit where my feet are
Yes you are
So I will praise You in the valleys all the same
No less God within the shadows
No less faithful when the night leads me astray
You're the Heaven where my heart is
In the highlands and the heartache all the same"
To The One,UPPERROOM,"It's the mystery
Of this hope in me
How You hold the stars
Yet You hold my heart

One who's first and last
Wiped away my past
Perfect royalty
Made His home in me

To the One who holds the stars
We lift You higher, we lift You higher
To the One who holds our hearts
There is no other
There is no other like You

King of endless life
Yet You chose to die
On a sinner's tree
Exposed for me

With one final breath
It is finished
Stormed the gates of hell
Ripping through the veil

To the One who overcame
We lift You higher, we lift You higher
To the Name above all Names
There is no other
There is no other
To the One who overcame
We lift You higher, we lift You higher
To the Name above all Names
There is no other
There is no other like You
There is no other like You

Jesus Christ
We magnify Your life
For Your majesty
We crown You King of kings (Yes, we do)
Jesus Christ
We magnify Your life
For Your majesty
We crown You King of kings
Jesus Christ
We magnify Your life
For Your majesty
We crown You King of kings
And Jesus Christ
We magnify Your life
For Your majesty
We crown You King of kings

Oh-oh-oh...

To the One who overcame
We lift You higher, we lift You higher
To the Name above all Names
There is no other
There is no other
To the One who overcame
We lift You higher, we lift You higher
To the Name above all Names
There is no other
There is no other like You

Oh-oh-oh...

Jesus Christ
Our perfect sacrifice
You are beautiful
Our hope's in You alone
Jesus Christ
Our perfect sacrifice
You are beautiful
Our hope's in You alone
Jesus Christ
Our perfect sacrifice (Thank You, Jesus)
You are beautiful
Our hope's in You alone
Jesus Christ
Our perfect sacrifice
You are beautiful
Our hope's in You alone
Jesus Christ
Our perfect sacrifice (Yeah, yeah, yeah)
You are beautiful
Our hope's in You alone

Oh-oh-oh...

(To the one)
To the One who overcame
We lift You higher, we lift You higher
To the Name above all Names
There is no other
There is no other
To the One who overcame
We lift You higher, we lift You higher
To the Name above all Names
There is no other
There is no other like You

Oh, there is no other like You
Oh, no other like You
Jesus, Jesus, Jesus
You're the One who overcame
Jesus, Jesus, Jesus"
